clasificacion_codigo,clasificacion_nombre,articulo_sk,articulo_clave,descripcion,existencia_total,fecha_corte
13,ARTESANIA GENERAL,21381,F0620230001,IMAN FIGURAS VARIAS,7,2025-09-03
13,ARTESANIA GENERAL,24734,F819760002,BOLSA SOBRE PIEL C/PIEDRA ME,1,2025-09-03
13,ARTESANIA GENERAL,24715,F819350001,JABON MAZORCA DE TOTOMOXTLE VARIOS COL 30 GRS,3,2025-09-03
14,CERERIA,22281,F2019720013,VELA TRADICIONAL COL VAR 15CMS,1,2025-09-03
14,CERERIA,6124,C2019720022,VELA TRADICIONAL COL VAR 9.5CMS,9,2025-09-03
14,CERERIA,21327,F02017520005,CUSTODIA ESCAMADA EN CERA,1,2025-09-03
14,CERERIA,6130,C2019720028,VELA PINA TRAD 30CMS,1,2025-09-03
14,CERERIA,21337,F0202540002,VELADORA CRANEO,3,2025-09-03
14,CERERIA,21329,F02017520007,VELA ESCAMADA 30 CM.,2,2025-09-03
14,CERERIA,6122,C2019720020,VELA TRADICIONAL COL VAR 30CMS,31,2025-09-03
14,CERERIA,6123,C2019720021,VELA TRADICIONAL COL VAR 15CMS,18,2025-09-03
14,CERERIA,6129,C2019720027,CIRIO ESCAMADO 7X28CMS,8,2025-09-03
14,CERERIA,22274,F2019720006,VELA COL VARIOS 7X15CMS,1,2025-09-03
15,VIDRIO,24532,F7372070,GALLINA NO.4 VERDE PUEBLA,3,2025-09-03
15,VIDRIO,24517,F73510003,JOYERITO VIDRIO 2 G15,4,2025-09-03
15,VIDRIO,24499,F718310045,TEQUILERO BARRIL FILO COL VARIOS,9,2025-09-03
15,VIDRIO,33478,NA77350082,ESFERA GOTA TORCIDA DORADA,1,2025-09-03
15,VIDRIO,24485,F718310031,TEQUILERO TIKI VIDRIO COL VARIOS,23,2025-09-03
15,VIDRIO,24516,F73510002,JOYERITO VIDRIO 1 G14,4,2025-09-03
15,VIDRIO,24498,F718310044,TEQUILERO CANITA FILO COL VAR,96,2025-09-03
15,VIDRIO,24502,F718310050,TEQUILERO CALAVERA VIDRIO SOPLADO,5,2025-09-03
15,VIDRIO,24518,F73510004,JOYERITO VIDRIO 3 G16,1,2025-09-03
15,VIDRIO,24519,F73510005,JOYERITO VIDRIO 4 G17,2,2025-09-03
16,ARTE PLUMARIO LISTON,19864,DEVOLUCIONES,DEVOLUCIONES,58,2025-09-03
18,LIBROS,7557,C319600016,LIBRO EL REBOZO REVISTA NO.90 P R,1,2025-09-03
18,LIBROS,7602,C319650001,LIBRO MEXICO GUADALUPANO,7,2025-09-03
18,LIBROS,7536,C316220002,MAPA DE LA CIUDAD DE MEXICO,11,2025-09-03
18,LIBROS,7592,C319600051,LIBRO LA CHINA POBLANA NUMERO 66,3,2025-09-03
18,LIBROS,7766,C3848004,LIBRO EL MOBILIARIO DE PUEBLA,8,2025-09-03
18,LIBROS,7768,C3848007,UN RECORRIDO INTIMO POR EL MAP,9,2025-09-03
18,LIBROS,7558,C319600017,LIBRO DOMINGO DE RAMOS DE URUAPAN,3,2025-09-03
18,LIBROS,7546,C319600005,LIBRO ARTE DEL TEMPLO MAYOR NO. 7,1,2025-09-03
18,LIBROS,16011,CC31740010,LIBRO SEMBRAR PAJAROS,6,2025-09-03
18,LIBROS,16009,CC31740008,LIBRO XOLO,2,2025-09-03
19,JUGUETE,21288,F01718440022,ABUELITO GDE,3,2025-09-03
19,JUGUETE,22004,F1719750047,BALERO C/SOMBRERO JOE 228,3,2025-09-03
19,JUGUETE,21964,F1719750003,SALPICADA GDE,1,2025-09-03
19,JUGUETE,8326,C6148005,SIRENA MANTA DF,6,2025-09-03
19,JUGUETE,22030,F1720320001,MUNECA DE TELA GUERRERO,7,2025-09-03
19,JUGUETE,3685,C017994003,JGO. UN VIAJE A TRAVES DE MEXI,1,2025-09-03
19,JUGUETE,18946,CC613230004,MUNECA OTOMI CON LISTONES TEJIDOS,8,2025-09-03
19,JUGUETE,21267,F01718440001,MUNECA C/BEBE,1,2025-09-03
19,JUGUETE,21268,F01718440002,MUNECO C/SOMBRERO,1,2025-09-03
19,JUGUETE,2760,C015518237,CARRUSEL GUERRERO MADERA GDE.,2,2025-09-03
20,IMPRESOS,7923,C516310010,ROMPECABEZAS CIUDAD UNIVERSITARIA,5,2025-09-03
20,IMPRESOS,7915,C516310002,ROMPECABEZAS JUGUETERO,5,2025-09-03
